arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Separate,pb_valid_with_protein,2,6.8152,10.4450,11.5694
Separate,pb_valid_with_protein,3,7.0064,13.1890,15.5526
Separate,pb_valid_with_protein,5,6.8928,15.8541,20.4581
Separate,pb_valid_with_protein,10,6.9566,19.6651,28.6172
Separate,pb_valid_with_protein,20,6.9501,22.6974,36.6459
Separate,pb_valid_with_protein,40,6.9378,24.8804,44.4976
Separate,lt2A_and_valid_no_protein,1,4.3708,4.3708,4.3708
Separate,lt2A_and_valid_no_protein,2,4.4390,5.9151,8.0538
Separate,lt2A_and_valid_no_protein,3,4.4565,6.9366,11.1567
Separate,lt2A_and_valid_no_protein,5,4.4065,8.4318,16.0419
Separate,lt2A_and_valid_no_protein,10,4.4103,10.6459,24.7440
Separate,lt2A_and_valid_no_protein,20,4.4339,13.5514,34.6699
Separate,lt2A_and_valid_no_protein,40,4.4258,17.7033,44.0191
Separate,lt2A_and_valid_with_protein,1,1.4904,1.4904,1.4904
Separate,lt2A_and_valid_with_protein,2,1.4934,2.4007,2.8553
Separate,lt2A_and_valid_with_protein,3,1.4900,3.1232,4.0921
Separate,lt2A_and_valid_with_protein,5,1.5151,4.2165,6.3026
Separate,lt2A_and_valid_with_protein,10,1.4946,5.9952,10.6041
Separate,lt2A_and_valid_with_protein,20,1.4745,7.9486,16.1842
Separate,lt2A_and_valid_with_protein,40,1.4833,10.5263,22.4880
SigmaDock,rmsd_lt_1.0A,1,0.3744,0.3744,0.3744
SigmaDock,rmsd_lt_1.0A,2,0.3457,0.5861,0.6782
SigmaDock,rmsd_lt_1.0A,3,0.3644,0.8278,1.0550
SigmaDock,rmsd_lt_1.0A,5,0.3754,1.2093,1.7536
SigmaDock,rmsd_lt_1.0A,10,0.3482,1.7775,3.0419
SigmaDock,rmsd_lt_1.0A,20,0.3609,2.6196,5.4067
SigmaDock,rmsd_lt_1.0A,40,0.3589,3.3493,8.6124
SigmaDock,rmsd_lt_2.0A,1,5.8983,5.8983,5.8983
SigmaDock,rmsd_lt_2.0A,2,5.7548,8.0191,10.5478
SigmaDock,rmsd_lt_2.0A,3,5.7500,9.5885,14.6890
SigmaDock,rmsd_lt_2.0A,5,5.7677,11.5825,21.5455
SigmaDock,rmsd_lt_2.0A,10,5.8245,14.5646,33.7512
SigmaDock,rmsd_lt_2.0A,20,5.7985,17.4988,46.4545
SigmaDock,rmsd_lt_2.0A,40,5.8014,18.6603,57.4163
SigmaDock,rmsd_lt_2.5A,1,11.7679,11.7679,11.7679
SigmaDock,rmsd_lt_2.5A,2,11.8678,14.8349,20.8313
SigmaDock,rmsd_lt_2.5A,3,11.8210,16.6639,27.7356
SigmaDock,rmsd_lt_2.5A,5,11.7622,19.1603,37.9115
SigmaDock,rmsd_lt_2.5A,10,11.8439,22.6077,52.7356
SigmaDock,rmsd_lt_2.5A,20,11.8474,25.7679,65.3122
SigmaDock,rmsd_lt_2.5A,40,11.8541,26.3158,73.6842
SigmaDock,rmsd_lt_3.0A,1,19.8361,19.8361,19.8361
SigmaDock,rmsd_lt_3.0A,2,19.9653,23.3278,32.7177
SigmaDock,rmsd_lt_3.0A,3,19.8752,25.3337,41.5981
SigmaDock,rmsd_lt_3.0A,5,19.8526,28.2608,53.6208
SigmaDock,rmsd_lt_3.0A,10,19.8249,32.2010,68.0825
SigmaDock,rmsd_lt_3.0A,20,19.8438,35.7572,79.1711
SigmaDock,rmsd_lt_3.0A,40,19.8325,36.8421,86.1244
SigmaDock,pb_valid_no_protein,1,28.1998,28.1998,28.1998
SigmaDock,pb_valid_no_protein,2,28.2632,28.6256,37.0072
SigmaDock,pb_valid_no_protein,3,28.0913,28.4868,41.7213
SigmaDock,pb_valid_no_protein,5,28.1533,28.3696,47.9701
SigmaDock,pb_valid_no_protein,10,28.1844,27.7644,55.9689
SigmaDock,pb_valid_no_protein,20,28.1702,26.9904,63.1244
SigmaDock,pb_valid_no_protein,40,28.1938,24.8804,70.3349
SigmaDock,pb_valid_with_protein,1,5.6483,5.6483,5.6483
SigmaDock,pb_valid_with_protein,2,5.6136,8.2500,9.4222
SigmaDock,pb_valid_with_protein,3,5.6368,9.8469,12.2392
SigmaDock,pb_valid_with_protein,5,5.5510,11.7978,16.1902
SigmaDock,pb_valid_with_protein,10,5.6084,14.0670,22.2811
SigmaDock,pb_valid_with_protein,20,5.5869,15.6435,28.8923
SigmaDock,pb_valid_with_protein,40,5.5981,15.7895,35.8852
SigmaDock,lt2A_and_valid_no_protein,1,3.2010,3.2010,3.2010
SigmaDock,lt2A_and_valid_no_protein,2,3.2386,4.1962,5.9892
SigmaDock,lt2A_and_valid_no_protein,3,3.1571,4.6244,8.2835
SigmaDock,lt2A_and_valid_no_protein,5,3.2634,5.6005,12.6423
SigmaDock,lt2A_and_valid_no_protein,10,3.2439,6.5395,19.8301
SigmaDock,lt2A_and_valid_no_protein,20,3.2211,7.3301,28.1998
SigmaDock,lt2A_and_valid_no_protein,40,3.2177,6.6986,35.8852
SigmaDock,lt2A_and_valid_with_protein,1,0.9163,0.9163,0.9163
SigmaDock,lt2A_and_valid_with_protein,2,0.9366,1.5478,1.7990
SigmaDock,lt2A_and_valid_with_protein,3,0.9254,1.9486,2.5789
SigmaDock,lt2A_and_valid_with_protein,5,0.9376,2.6184,4.0598
SigmaDock,lt2A_and_valid_with_protein,10,0.9465,3.6423,7.1089
SigmaDock,lt2A_and_valid_with_protein,20,0.9407,4.7022,11.4199
SigmaDock,lt2A_and_valid_with_protein,40,0.9450,5.2632,16.7464
