arm,ranker,k,hit_rmsd_lt_2A_pct
Minimal,random,1,5.4270
Minimal,random,2,5.3409
Minimal,random,3,5.4593
Minimal,random,5,5.5682
Minimal,random,10,5.4677
Minimal,random,20,5.5179
Minimal,random,40,5.3971
Minimal,random,80,5.2811
Minimal,affinity_vinardo,1,5.4569
Minimal,affinity_vinardo,2,7.3170
Minimal,affinity_vinardo,3,8.5132
Minimal,affinity_vinardo,5,10.4629
Minimal,affinity_vinardo,10,13.3612
Minimal,affinity_vinardo,20,16.7105
Minimal,affinity_vinardo,40,20.7871
Minimal,affinity_vinardo,80,26.3158
Minimal,pb_all,1,5.4498
Minimal,pb_all,2,6.8301
Minimal,pb_all,3,7.6268
Minimal,pb_all,5,8.7679
Minimal,pb_all,10,10.4019
Minimal,pb_all,20,11.7548
Minimal,pb_all,40,12.9294
Minimal,pb_all,80,13.5933
Minimal,pb_intrinsic,1,5.4318
Minimal,pb_intrinsic,2,6.4055
Minimal,pb_intrinsic,3,6.8050
Minimal,pb_intrinsic,5,7.1902
Minimal,pb_intrinsic,10,7.4665
Minimal,pb_intrinsic,20,7.8756
Minimal,pb_intrinsic,40,7.7895
Minimal,pb_intrinsic,80,8.3313
Minimal,pb_protein,1,5.3780
Minimal,pb_protein,2,6.3577
Minimal,pb_protein,3,7.0981
Minimal,pb_protein,5,7.7344
Minimal,pb_protein,10,8.8672
Minimal,pb_protein,20,9.8098
Minimal,pb_protein,40,10.3864
Minimal,pb_protein,80,10.9402
Minimal,oracle,1,5.3158
Minimal,oracle,2,10.0299
Minimal,oracle,3,14.2464
Minimal,oracle,5,20.8349
Minimal,oracle,10,32.5634
Minimal,oracle,20,45.8445
Minimal,oracle,40,57.3648
Minimal,oracle,80,66.9856
Separate,random,1,5.9773
Separate,random,2,5.8086
Separate,random,3,5.7931
Separate,random,5,5.7057
Separate,random,10,5.7428
Separate,random,20,5.9163
Separate,random,40,5.8194
Separate,random,80,5.8828
Separate,affinity_vinardo,1,5.7273
Separate,affinity_vinardo,2,8.1914
Separate,affinity_vinardo,3,9.7117
Separate,affinity_vinardo,5,11.7620
Separate,affinity_vinardo,10,15.3636
Separate,affinity_vinardo,20,19.1651
Separate,affinity_vinardo,40,23.4545
Separate,affinity_vinardo,80,27.7512
Separate,pb_all,1,5.7356
Separate,pb_all,2,7.4366
Separate,pb_all,3,8.4498
Separate,pb_all,5,9.5060
Separate,pb_all,10,11.1519
Separate,pb_all,20,12.7656
Separate,pb_all,40,14.3995
Separate,pb_all,80,15.8744
Separate,pb_intrinsic,1,5.7536
Separate,pb_intrinsic,2,6.7871
Separate,pb_intrinsic,3,7.1316
Separate,pb_intrinsic,5,7.6017
Separate,pb_intrinsic,10,8.3971
Separate,pb_intrinsic,20,8.7129
Separate,pb_intrinsic,40,8.8636
Separate,pb_intrinsic,80,9.0144
Separate,pb_protein,1,5.8086
Separate,pb_protein,2,7.0502
Separate,pb_protein,3,7.9031
Separate,pb_protein,5,9.0347
Separate,pb_protein,10,10.1053
Separate,pb_protein,20,11.0359
Separate,pb_protein,40,11.8660
Separate,pb_protein,80,12.5718
Separate,oracle,1,5.8050
Separate,oracle,2,10.7679
Separate,oracle,3,14.8074
Separate,oracle,5,21.8983
Separate,oracle,10,34.0012
Separate,oracle,20,48.1603
Separate,oracle,40,61.0490
Separate,oracle,80,72.2488
SigmaDock,random,1,6.2967
SigmaDock,random,2,6.3959
SigmaDock,random,3,6.3457
SigmaDock,random,5,6.3014
SigmaDock,random,10,6.3469
SigmaDock,random,20,6.3900
SigmaDock,random,40,6.1866
SigmaDock,random,80,6.1340
SigmaDock,affinity_vinardo,1,6.3409
SigmaDock,affinity_vinardo,2,8.5335
SigmaDock,affinity_vinardo,3,10.2476
SigmaDock,affinity_vinardo,5,12.1986
SigmaDock,affinity_vinardo,10,15.0467
SigmaDock,affinity_vinardo,20,17.8481
SigmaDock,affinity_vinardo,40,20.6519
SigmaDock,affinity_vinardo,80,22.9665
SigmaDock,pb_all,1,6.3301
SigmaDock,pb_all,2,7.8648
SigmaDock,pb_all,3,8.5455
SigmaDock,pb_all,5,9.5275
SigmaDock,pb_all,10,10.8397
SigmaDock,pb_all,20,12.4091
SigmaDock,pb_all,40,13.7333
SigmaDock,pb_all,80,14.5754
SigmaDock,pb_intrinsic,1,6.4019
SigmaDock,pb_intrinsic,2,7.0634
SigmaDock,pb_intrinsic,3,7.6376
SigmaDock,pb_intrinsic,5,7.9689
SigmaDock,pb_intrinsic,10,8.3182
SigmaDock,pb_intrinsic,20,8.6423
SigmaDock,pb_intrinsic,40,8.4151
SigmaDock,pb_intrinsic,80,8.6986
SigmaDock,pb_protein,1,6.2189
SigmaDock,pb_protein,2,7.5490
SigmaDock,pb_protein,3,8.1627
SigmaDock,pb_protein,5,9.0060
SigmaDock,pb_protein,10,10.0132
SigmaDock,pb_protein,20,11.1411
SigmaDock,pb_protein,40,12.1483
SigmaDock,pb_protein,80,12.9713
SigmaDock,oracle,1,6.3409
SigmaDock,oracle,2,11.6220
SigmaDock,oracle,3,15.8529
SigmaDock,oracle,5,23.1352
SigmaDock,oracle,10,34.6567
SigmaDock,oracle,20,47.4797
SigmaDock,oracle,40,59.0682
SigmaDock,oracle,80,68.4211
