arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Minimal,rmsd_lt_1.0A,1,0.3313,0.3313,0.3313
Minimal,rmsd_lt_1.0A,2,0.3600,0.5861,0.7081
Minimal,rmsd_lt_1.0A,3,0.3341,0.6914,0.9773
Minimal,rmsd_lt_1.0A,5,0.3502,0.9533,1.6495
Minimal,rmsd_lt_1.0A,10,0.3486,1.3708,3.0825
Minimal,rmsd_lt_1.0A,20,0.3459,1.9258,5.4773
Minimal,rmsd_lt_1.0A,40,0.3461,3.0144,9.0431
Minimal,rmsd_lt_1.0A,80,0.3469,4.7847,14.3541
Minimal,rmsd_lt_2.0A,1,5.4940,5.4940,5.4940
Minimal,rmsd_lt_2.0A,2,5.4354,7.3301,10.0156
Minimal,rmsd_lt_2.0A,3,5.4593,8.6878,14.1172
Minimal,rmsd_lt_2.0A,5,5.4328,10.6567,20.8612
Minimal,rmsd_lt_2.0A,10,5.4423,13.5191,32.5885
Minimal,rmsd_lt_2.0A,20,5.4531,16.6136,45.6950
Minimal,rmsd_lt_2.0A,40,5.4370,20.6758,57.4163
Minimal,rmsd_lt_2.0A,80,5.4486,26.3158,66.9856
Minimal,rmsd_lt_2.5A,1,11.3541,11.3541,11.3541
Minimal,rmsd_lt_2.5A,2,11.5395,14.5060,20.4055
Minimal,rmsd_lt_2.5A,3,11.6184,16.5299,27.6974
Minimal,rmsd_lt_2.5A,5,11.4711,18.5778,37.9964
Minimal,rmsd_lt_2.5A,10,11.5288,21.8828,53.7416
Minimal,rmsd_lt_2.5A,20,11.5168,24.5227,67.1722
Minimal,rmsd_lt_2.5A,40,11.5359,28.1411,76.7763
Minimal,rmsd_lt_2.5A,80,11.5311,33.4928,83.7321
Minimal,rmsd_lt_3.0A,1,19.9856,19.9856,19.9856
Minimal,rmsd_lt_3.0A,2,19.6711,23.1555,32.5203
Minimal,rmsd_lt_3.0A,3,19.8186,25.1316,42.0478
Minimal,rmsd_lt_3.0A,5,19.7392,27.5730,53.9593
Minimal,rmsd_lt_3.0A,10,19.7795,30.9450,68.8062
Minimal,rmsd_lt_3.0A,20,19.7717,34.0467,79.6340
Minimal,rmsd_lt_3.0A,40,19.7697,37.2679,87.2572
Minimal,rmsd_lt_3.0A,80,19.7847,41.6268,92.3445
Minimal,pb_valid_no_protein,1,33.6830,33.6830,33.6830
Minimal,pb_valid_no_protein,2,33.6902,34.4270,45.3218
Minimal,pb_valid_no_protein,3,33.7544,34.6543,51.9557
Minimal,pb_valid_no_protein,5,33.7115,34.9318,59.9043
Minimal,pb_valid_no_protein,10,33.6993,35.3553,69.9976
Minimal,pb_valid_no_protein,20,33.7017,35.6746,78.1388
Minimal,pb_valid_no_protein,40,33.7086,36.2763,84.4079
Minimal,pb_valid_no_protein,80,33.7141,37.3206,89.4737
Minimal,pb_valid_with_protein,1,6.6352,6.6352,6.6352
Minimal,pb_valid_with_protein,2,6.6573,10.1782,11.4450
Minimal,pb_valid_with_protein,3,6.6734,12.4390,14.9533
Minimal,pb_valid_with_protein,5,6.6610,15.3349,20.1950
Minimal,pb_valid_with_protein,10,6.6263,19.0335,28.4450
Minimal,pb_valid_with_protein,20,6.6322,22.4222,36.9940
Minimal,pb_valid_with_protein,40,6.6188,25.2895,45.1184
Minimal,pb_valid_with_protein,80,6.6208,28.7081,52.1531
Minimal,lt2A_and_valid_no_protein,1,3.9282,3.9282,3.9282
Minimal,lt2A_and_valid_no_protein,2,3.9157,5.2297,7.3218
Minimal,lt2A_and_valid_no_protein,3,3.9470,5.8780,10.2871
Minimal,lt2A_and_valid_no_protein,5,4.0175,7.3170,15.4486
Minimal,lt2A_and_valid_no_protein,10,3.9517,9.2045,24.0371
Minimal,lt2A_and_valid_no_protein,20,3.9763,11.1902,34.3983
Minimal,lt2A_and_valid_no_protein,40,3.9807,13.5371,44.3337
Minimal,lt2A_and_valid_no_protein,80,3.9773,17.2249,51.6746
Minimal,lt2A_and_valid_with_protein,1,1.2045,1.2045,1.2045
Minimal,lt2A_and_valid_with_protein,2,1.2321,2.0287,2.3493
Minimal,lt2A_and_valid_with_protein,3,1.2269,2.6411,3.3589
Minimal,lt2A_and_valid_with_protein,5,1.2660,3.6770,5.2990
Minimal,lt2A_and_valid_with_protein,10,1.2421,5.1172,8.8254
Minimal,lt2A_and_valid_with_protein,20,1.2284,6.7943,13.8409
Minimal,lt2A_and_valid_with_protein,40,1.2213,9.4390,20.7344
Minimal,lt2A_and_valid_with_protein,80,1.2261,13.3971,28.7081
Separate,rmsd_lt_1.0A,1,0.3816,0.3816,0.3816
Separate,rmsd_lt_1.0A,2,0.3929,0.6830,0.7715
Separate,rmsd_lt_1.0A,3,0.3776,0.8457,1.0849
Separate,rmsd_lt_1.0A,5,0.3880,1.2452,1.7847
Separate,rmsd_lt_1.0A,10,0.3926,1.8577,3.3038
Separate,rmsd_lt_1.0A,20,0.3897,2.7620,5.6280
Separate,rmsd_lt_1.0A,40,0.3888,3.8230,8.8840
Separate,rmsd_lt_1.0A,80,0.3888,5.7416,12.4402
Separate,rmsd_lt_2.0A,1,5.8541,5.8541,5.8541
Separate,rmsd_lt_2.0A,2,5.8331,8.0694,10.7189
Separate,rmsd_lt_2.0A,3,5.8449,9.7368,15.0383
Separate,rmsd_lt_2.0A,5,5.8773,12.0419,22.0706
Separate,rmsd_lt_2.0A,10,5.8557,15.4833,34.1160
Separate,rmsd_lt_2.0A,20,5.8483,19.2392,48.1962
Separate,rmsd_lt_2.0A,40,5.8298,23.3026,60.9629
Separate,rmsd_lt_2.0A,80,5.8373,27.7512,72.2488
Separate,rmsd_lt_2.5A,1,12.1292,12.1292,12.1292
Separate,rmsd_lt_2.5A,2,12.1477,15.6148,21.3732
Separate,rmsd_lt_2.5A,3,12.0012,17.6124,28.4103
Separate,rmsd_lt_2.5A,5,12.0785,20.4533,39.2297
Separate,rmsd_lt_2.5A,10,12.0518,24.5514,54.6352
Separate,rmsd_lt_2.5A,20,12.0693,29.2237,67.9749
Separate,rmsd_lt_2.5A,40,12.0925,33.6603,77.8337
Separate,rmsd_lt_2.5A,80,12.0873,37.7990,83.7321
Separate,rmsd_lt_3.0A,1,20.4175,20.4175,20.4175
Separate,rmsd_lt_3.0A,2,20.4539,24.4797,33.6220
Separate,rmsd_lt_3.0A,3,20.4621,26.9581,43.1220
Separate,rmsd_lt_3.0A,5,20.5395,30.1316,55.5299
Separate,rmsd_lt_3.0A,10,20.5217,34.4187,70.3242
Separate,rmsd_lt_3.0A,20,20.4687,38.3397,80.9222
Separate,rmsd_lt_3.0A,40,20.4913,42.3266,88.1148
Separate,rmsd_lt_3.0A,80,20.4964,45.9330,92.8230
Separate,pb_valid_no_protein,1,34.9904,34.9904,34.9904
Separate,pb_valid_no_protein,2,34.8493,35.6328,45.9653
Separate,pb_valid_no_protein,3,34.8796,36.1148,52.5849
Separate,pb_valid_no_protein,5,34.9660,36.7201,60.4713
Separate,pb_valid_no_protein,10,34.9231,37.3804,70.5562
Separate,pb_valid_no_protein,20,34.8987,37.7237,78.4976
Separate,pb_valid_no_protein,40,34.8895,38.1029,84.0610
Separate,pb_valid_no_protein,80,34.8864,37.7990,87.5598
Separate,pb_valid_with_protein,1,7.0407,7.0407,7.0407
Separate,pb_valid_with_protein,2,7.1417,10.8911,12.0311
Separate,pb_valid_with_protein,3,7.1029,13.3900,15.7213
Separate,pb_valid_with_protein,5,7.1636,16.6089,21.3792
Separate,pb_valid_with_protein,10,7.1390,20.8014,29.6950
Separate,pb_valid_with_protein,20,7.1965,24.3900,38.4258
Separate,pb_valid_with_protein,40,7.1697,26.9545,47.0933
