arm,metric,pct,ci_lo,ci_hi,n_poses
Minimal,rmsd_lt_1.0A,0.3230,0.2221,0.4695,8360
Minimal,rmsd_lt_2.0A,5.3349,4.8734,5.8375,8360
Minimal,rmsd_lt_2.5A,11.1962,10.5380,11.8900,8360
Minimal,rmsd_lt_3.0A,19.7368,18.8976,20.6039,8360
Minimal,pb_valid_no_protein,33.8517,32.8449,34.8733,8360
Minimal,pb_valid_with_protein,6.6148,6.1017,7.1678,8360
Minimal,lt2A_and_valid_no_protein,3.8397,3.4486,4.2733,8360
Minimal,lt2A_and_valid_with_protein,1.1483,0.9413,1.4002,8360
Separate,rmsd_lt_1.0A,0.3469,0.2416,0.4978,8360
Separate,rmsd_lt_2.0A,5.8493,5.3662,6.3729,8360
Separate,rmsd_lt_2.5A,11.9617,11.2835,12.6749,8360
Separate,rmsd_lt_3.0A,20.3828,19.5329,21.2598,8360
Separate,pb_valid_no_protein,34.9641,33.9490,35.9930,8360
Separate,pb_valid_with_protein,6.9378,6.4127,7.5025,8360
Separate,lt2A_and_valid_no_protein,4.4258,4.0055,4.8880,8360
Separate,lt2A_and_valid_with_protein,1.4833,1.2455,1.7656,8360
SigmaDock,rmsd_lt_1.0A,0.3589,0.2515,0.5118,8360
SigmaDock,rmsd_lt_2.0A,5.8014,5.3203,6.3232,8360
SigmaDock,rmsd_lt_2.5A,11.8541,11.1786,12.5646,8360
SigmaDock,rmsd_lt_3.0A,19.8325,18.9917,20.7011,8360
SigmaDock,pb_valid_no_protein,28.1938,27.2394,29.1681,8360
SigmaDock,pb_valid_with_protein,5.5981,5.1254,6.1116,8360
SigmaDock,lt2A_and_valid_no_protein,3.2177,2.8604,3.6180,8360
SigmaDock,lt2A_and_valid_with_protein,0.9450,0.7589,1.1761,8360
