arm,metric,k,random_pct,oracle_pct
Separate,pb_valid_with_protein,5,4.5823,14.3254
Separate,pb_valid_with_protein,10,4.5511,20.7189
Separate,pb_valid_with_protein,20,4.5629,28.0658
Separate,pb_valid_with_protein,40,4.5694,34.9282
Separate,lt2A_and_valid_no_protein,1,2.3756,2.3756
Separate,lt2A_and_valid_no_protein,2,2.3666,4.4246
Separate,lt2A_and_valid_no_protein,3,2.3768,6.2512
Separate,lt2A_and_valid_no_protein,5,2.3596,9.1495
Separate,lt2A_and_valid_no_protein,10,2.3414,14.5730
Separate,lt2A_and_valid_no_protein,20,2.3444,21.5383
Separate,lt2A_and_valid_no_protein,40,2.3445,28.7081
Separate,lt2A_and_valid_with_protein,1,0.8660,0.8660
Separate,lt2A_and_valid_with_protein,2,0.8690,1.6806
Separate,lt2A_and_valid_with_protein,3,0.8660,2.4306
Separate,lt2A_and_valid_with_protein,5,0.8321,3.6890
Separate,lt2A_and_valid_with_protein,10,0.8364,6.5347
Separate,lt2A_and_valid_with_protein,20,0.8468,11.2093
Separate,lt2A_and_valid_with_protein,40,0.8493,17.7033
SigmaDock,rmsd_lt_1.0A,1,0.0598,0.0598
SigmaDock,rmsd_lt_1.0A,2,0.0760,0.1507
SigmaDock,rmsd_lt_1.0A,3,0.0694,0.2057
SigmaDock,rmsd_lt_1.0A,5,0.0713,0.3505
SigmaDock,rmsd_lt_1.0A,10,0.0700,0.6734
SigmaDock,rmsd_lt_1.0A,20,0.0735,1.3636
SigmaDock,rmsd_lt_1.0A,40,0.0718,2.3923
SigmaDock,rmsd_lt_2.0A,1,0.7237,0.7237
SigmaDock,rmsd_lt_2.0A,2,0.6914,1.3589
SigmaDock,rmsd_lt_2.0A,3,0.7388,2.1208
SigmaDock,rmsd_lt_2.0A,5,0.7414,3.3804
SigmaDock,rmsd_lt_2.0A,10,0.7377,6.1543
SigmaDock,rmsd_lt_2.0A,20,0.7303,10.3505
SigmaDock,rmsd_lt_2.0A,40,0.7297,16.2679
SigmaDock,rmsd_lt_2.5A,1,1.6208,1.6208
SigmaDock,rmsd_lt_2.5A,2,1.6172,3.1244
SigmaDock,rmsd_lt_2.5A,3,1.6176,4.5060
SigmaDock,rmsd_lt_2.5A,5,1.6055,6.9438
SigmaDock,rmsd_lt_2.5A,10,1.6084,11.7859
SigmaDock,rmsd_lt_2.5A,20,1.6296,18.4079
SigmaDock,rmsd_lt_2.5A,40,1.6268,25.3589
SigmaDock,rmsd_lt_3.0A,1,3.0957,3.0957
SigmaDock,rmsd_lt_3.0A,2,3.1047,5.8696
SigmaDock,rmsd_lt_3.0A,3,3.0594,8.2093
SigmaDock,rmsd_lt_3.0A,5,3.0854,12.4139
SigmaDock,rmsd_lt_3.0A,10,3.1037,19.9737
SigmaDock,rmsd_lt_3.0A,20,3.0657,28.5299
SigmaDock,rmsd_lt_3.0A,40,3.0861,38.2775
SigmaDock,pb_valid_no_protein,1,5.4665,5.4665
SigmaDock,pb_valid_no_protein,2,5.4199,7.9414
SigmaDock,pb_valid_no_protein,3,5.4398,9.9892
SigmaDock,pb_valid_no_protein,5,5.4438,13.1627
SigmaDock,pb_valid_no_protein,10,5.4471,17.9833
SigmaDock,pb_valid_no_protein,20,5.4419,22.7464
SigmaDock,pb_valid_no_protein,40,5.4426,27.2727
SigmaDock,pb_valid_with_protein,1,0.6053,0.6053
SigmaDock,pb_valid_with_protein,2,0.6226,1.1794
SigmaDock,pb_valid_with_protein,3,0.6244,1.7057
SigmaDock,pb_valid_with_protein,5,0.6251,2.5885
SigmaDock,pb_valid_with_protein,10,0.6291,4.3888
SigmaDock,pb_valid_with_protein,20,0.6211,7.0514
SigmaDock,pb_valid_with_protein,40,0.6220,11.0048
SigmaDock,lt2A_and_valid_no_protein,1,0.3493,0.3493
SigmaDock,lt2A_and_valid_no_protein,2,0.3744,0.7249
SigmaDock,lt2A_and_valid_no_protein,3,0.3425,0.9833
SigmaDock,lt2A_and_valid_no_protein,5,0.3598,1.6304
SigmaDock,lt2A_and_valid_no_protein,10,0.3660,2.9163
SigmaDock,lt2A_and_valid_no_protein,20,0.3606,4.8146
SigmaDock,lt2A_and_valid_no_protein,40,0.3589,7.1770
SigmaDock,lt2A_and_valid_with_protein,1,0.1244,0.1244
SigmaDock,lt2A_and_valid_with_protein,2,0.1124,0.2249
SigmaDock,lt2A_and_valid_with_protein,3,0.1077,0.3146
SigmaDock,lt2A_and_valid_with_protein,5,0.1146,0.5287
SigmaDock,lt2A_and_valid_with_protein,10,0.1213,1.0514
SigmaDock,lt2A_and_valid_with_protein,20,0.1207,1.8254
SigmaDock,lt2A_and_valid_with_protein,40,0.1196,2.8708
