arm,score_bias,pb_exponent,k,hit_rmsd_lt_2A_pct
Minimal,0.0,0.5,40,19.1388
Minimal,0.0,1.0,40,19.6172
Minimal,0.0,2.0,40,19.6172
Minimal,0.0,4.0,40,20.0957
Minimal,0.25,0.5,40,19.1388
Minimal,0.25,1.0,40,19.6172
Minimal,0.25,2.0,40,19.1388
Minimal,0.25,4.0,40,20.5742
Minimal,0.5,0.5,40,19.1388
Minimal,0.5,1.0,40,19.1388
Minimal,0.5,2.0,40,19.1388
Minimal,0.5,4.0,40,19.6172
Minimal,1.0,0.5,40,19.1388
Minimal,1.0,1.0,40,19.1388
Minimal,1.0,2.0,40,19.6172
Minimal,1.0,4.0,40,19.1388
Minimal,2.0,0.5,40,20.0957
Minimal,2.0,1.0,40,19.1388
Minimal,2.0,2.0,40,19.1388
Minimal,2.0,4.0,40,19.1388
Minimal,4.0,0.5,40,20.0957
Minimal,4.0,1.0,40,20.0957
Minimal,4.0,2.0,40,19.1388
Minimal,4.0,4.0,40,19.1388
Separate,0.0,0.5,40,25.8373
Separate,0.0,1.0,40,26.3158
Separate,0.0,2.0,40,24.4019
Separate,0.0,4.0,40,26.3158
Separate,0.25,0.5,40,25.3589
Separate,0.25,1.0,40,25.8373
Separate,0.25,2.0,40,25.3589
Separate,0.25,4.0,40,24.8804
Separate,0.5,0.5,40,25.3589
Separate,0.5,1.0,40,25.8373
Separate,0.5,2.0,40,25.8373
Separate,0.5,4.0,40,24.4019
Separate,1.0,0.5,40,25.3589
Separate,1.0,1.0,40,25.3589
Separate,1.0,2.0,40,26.3158
Separate,1.0,4.0,40,25.8373
Separate,2.0,0.5,40,25.3589
Separate,2.0,1.0,40,25.3589
Separate,2.0,2.0,40,25.8373
Separate,2.0,4.0,40,25.8373
Separate,4.0,0.5,40,25.3589
Separate,4.0,1.0,40,25.3589
Separate,4.0,2.0,40,25.3589
Separate,4.0,4.0,40,25.8373
SigmaDock,0.0,0.5,40,18.6603
SigmaDock,0.0,1.0,40,18.6603
SigmaDock,0.0,2.0,40,19.6172
SigmaDock,0.0,4.0,40,20.0957
SigmaDock,0.25,0.5,40,18.6603
SigmaDock,0.25,1.0,40,18.6603
SigmaDock,0.25,2.0,40,20.0957
SigmaDock,0.25,4.0,40,19.6172
SigmaDock,0.5,0.5,40,18.6603
SigmaDock,0.5,1.0,40,18.6603
SigmaDock,0.5,2.0,40,19.6172
SigmaDock,0.5,4.0,40,19.6172
SigmaDock,1.0,0.5,40,18.6603
SigmaDock,1.0,1.0,40,18.6603
SigmaDock,1.0,2.0,40,18.6603
SigmaDock,1.0,4.0,40,19.6172
SigmaDock,2.0,0.5,40,18.6603
SigmaDock,2.0,1.0,40,18.6603
SigmaDock,2.0,2.0,40,18.6603
SigmaDock,2.0,4.0,40,18.6603
SigmaDock,4.0,0.5,40,18.6603
SigmaDock,4.0,1.0,40,18.6603
SigmaDock,4.0,2.0,40,18.6603
SigmaDock,4.0,4.0,40,18.6603
