arm,metric,k,random_pct,oracle_pct
Separate,pb_valid_with_protein,5,4.9455,15.1124
Separate,pb_valid_with_protein,10,4.9539,21.5885
Separate,pb_valid_with_protein,20,4.9611,28.4187
Separate,pb_valid_with_protein,40,4.9641,35.4067
Separate,lt2A_and_valid_no_protein,1,2.5825,2.5825
Separate,lt2A_and_valid_no_protein,2,2.6388,4.8469
Separate,lt2A_and_valid_no_protein,3,2.6204,6.7081
Separate,lt2A_and_valid_no_protein,5,2.6476,10.0144
Separate,lt2A_and_valid_no_protein,10,2.6347,15.4522
Separate,lt2A_and_valid_no_protein,20,2.6332,21.9175
Separate,lt2A_and_valid_no_protein,40,2.6316,28.7081
Separate,lt2A_and_valid_with_protein,1,0.9988,0.9988
Separate,lt2A_and_valid_with_protein,2,0.9647,1.8337
Separate,lt2A_and_valid_with_protein,3,1.0108,2.7656
Separate,lt2A_and_valid_with_protein,5,1.0089,4.2189
Separate,lt2A_and_valid_with_protein,10,1.0094,7.2536
Separate,lt2A_and_valid_with_protein,20,1.0072,11.1507
Separate,lt2A_and_valid_with_protein,40,1.0048,16.2679
SigmaDock,rmsd_lt_1.0A,1,0.0108,0.0108
SigmaDock,rmsd_lt_1.0A,2,0.0102,0.0203
SigmaDock,rmsd_lt_1.0A,3,0.0124,0.0371
SigmaDock,rmsd_lt_1.0A,5,0.0122,0.0610
SigmaDock,rmsd_lt_1.0A,10,0.0114,0.1136
SigmaDock,rmsd_lt_1.0A,20,0.0109,0.2189
SigmaDock,rmsd_lt_1.0A,40,0.0120,0.4785
SigmaDock,rmsd_lt_2.0A,1,0.5634,0.5634
SigmaDock,rmsd_lt_2.0A,2,0.5371,1.0455
SigmaDock,rmsd_lt_2.0A,3,0.5634,1.6112
SigmaDock,rmsd_lt_2.0A,5,0.5359,2.4450
SigmaDock,rmsd_lt_2.0A,10,0.5325,4.3684
SigmaDock,rmsd_lt_2.0A,20,0.5474,7.6112
SigmaDock,rmsd_lt_2.0A,40,0.5383,12.4402
SigmaDock,rmsd_lt_2.5A,1,1.4282,1.4282
SigmaDock,rmsd_lt_2.5A,2,1.4276,2.7428
SigmaDock,rmsd_lt_2.5A,3,1.4015,3.9139
SigmaDock,rmsd_lt_2.5A,5,1.3969,6.0383
SigmaDock,rmsd_lt_2.5A,10,1.4056,10.2620
SigmaDock,rmsd_lt_2.5A,20,1.3908,16.1328
SigmaDock,rmsd_lt_2.5A,40,1.3995,23.4450
SigmaDock,rmsd_lt_3.0A,1,2.6340,2.6340
SigmaDock,rmsd_lt_3.0A,2,2.5461,4.7679
SigmaDock,rmsd_lt_3.0A,3,2.6551,6.9605
SigmaDock,rmsd_lt_3.0A,5,2.6153,10.2189
SigmaDock,rmsd_lt_3.0A,10,2.6110,16.2356
SigmaDock,rmsd_lt_3.0A,20,2.6048,23.0825
SigmaDock,rmsd_lt_3.0A,40,2.6077,30.6220
SigmaDock,pb_valid_no_protein,1,5.1208,5.1208
SigmaDock,pb_valid_no_protein,2,5.1411,7.4450
SigmaDock,pb_valid_no_protein,3,5.1683,9.4163
SigmaDock,pb_valid_no_protein,5,5.1495,12.3947
SigmaDock,pb_valid_no_protein,10,5.1569,17.1579
SigmaDock,pb_valid_no_protein,20,5.1514,22.1292
SigmaDock,pb_valid_no_protein,40,5.1555,26.7943
SigmaDock,pb_valid_with_protein,1,0.6089,0.6089
SigmaDock,pb_valid_with_protein,2,0.6256,1.1830
SigmaDock,pb_valid_with_protein,3,0.6100,1.6830
SigmaDock,pb_valid_with_protein,5,0.5931,2.5610
SigmaDock,pb_valid_with_protein,10,0.6219,4.4187
SigmaDock,pb_valid_with_protein,20,0.6096,6.6639
SigmaDock,pb_valid_with_protein,40,0.6100,9.5694
SigmaDock,lt2A_and_valid_no_protein,1,0.3278,0.3278
SigmaDock,lt2A_and_valid_no_protein,2,0.2757,0.5311
SigmaDock,lt2A_and_valid_no_protein,3,0.2807,0.7823
SigmaDock,lt2A_and_valid_no_protein,5,0.3165,1.3684
SigmaDock,lt2A_and_valid_no_protein,10,0.3041,2.2931
SigmaDock,lt2A_and_valid_no_protein,20,0.2964,3.7129
SigmaDock,lt2A_and_valid_no_protein,40,0.2990,5.7416
SigmaDock,lt2A_and_valid_with_protein,1,0.0490,0.0490
SigmaDock,lt2A_and_valid_with_protein,2,0.0652,0.1304
SigmaDock,lt2A_and_valid_with_protein,3,0.0546,0.1627
SigmaDock,lt2A_and_valid_with_protein,5,0.0593,0.2907
SigmaDock,lt2A_and_valid_with_protein,10,0.0634,0.6124
SigmaDock,lt2A_and_valid_with_protein,20,0.0578,1.0502
SigmaDock,lt2A_and_valid_with_protein,40,0.0598,1.9139
