arm,metric,k,random_pct,top1_affinity_pct,oracle_pct
Separate,rmsd_lt_2.0A,80,5.8553,24.8804,70.8134
Separate,rmsd_lt_2.5A,1,11.8565,11.8565,11.8565
Separate,rmsd_lt_2.5A,2,12.1196,15.1746,21.2452
Separate,rmsd_lt_2.5A,3,12.0881,17.0215,28.4593
Separate,rmsd_lt_2.5A,5,12.1057,19.4091,39.2464
Separate,rmsd_lt_2.5A,10,12.0379,22.8816,54.7093
Separate,rmsd_lt_2.5A,20,12.1114,26.9653,68.9366
Separate,rmsd_lt_2.5A,40,12.0821,30.2440,79.4545
Separate,rmsd_lt_2.5A,80,12.0754,33.0144,85.6459
Separate,rmsd_lt_3.0A,1,20.4928,20.4928,20.4928
Separate,rmsd_lt_3.0A,2,20.5843,24.0120,34.0526
Separate,rmsd_lt_3.0A,3,20.4430,25.8266,43.3194
Separate,rmsd_lt_3.0A,5,20.5471,28.7644,55.9713
Separate,rmsd_lt_3.0A,10,20.5407,32.2679,70.9019
Separate,rmsd_lt_3.0A,20,20.5208,35.6519,81.8756
Separate,rmsd_lt_3.0A,40,20.5289,39.5263,89.0634
Separate,rmsd_lt_3.0A,80,20.5144,43.0622,93.3014
Separate,pb_valid_no_protein,1,35.0706,35.0706,35.0706
Separate,pb_valid_no_protein,2,34.9408,35.9868,45.4821
Separate,pb_valid_no_protein,3,35.0175,36.5431,51.4964
Separate,pb_valid_no_protein,5,34.9596,36.8301,59.0455
Separate,pb_valid_no_protein,10,35.0219,36.9641,68.7823
Separate,pb_valid_no_protein,20,35.0358,37.2129,77.6268
Separate,pb_valid_no_protein,40,35.0117,37.3744,84.0730
Separate,pb_valid_no_protein,80,35.0179,37.7990,88.9952
Separate,pb_valid_with_protein,1,7.1077,7.1077,7.1077
Separate,pb_valid_with_protein,2,6.9456,10.7189,11.7931
Separate,pb_valid_with_protein,3,7.0140,13.3289,15.7129
Separate,pb_valid_with_protein,5,6.9919,16.3110,21.2022
Separate,pb_valid_with_protein,10,7.0201,20.3409,29.9844
Separate,pb_valid_with_protein,20,6.9408,23.7105,38.9330
Separate,pb_valid_with_protein,40,6.9812,26.8852,47.9019
Separate,pb_valid_with_protein,80,6.9677,29.1866,56.4593
Separate,lt2A_and_valid_no_protein,1,4.3182,4.3182,4.3182
Separate,lt2A_and_valid_no_protein,2,4.2596,5.6974,7.7356
Separate,lt2A_and_valid_no_protein,3,4.2931,6.6328,10.9557
Separate,lt2A_and_valid_no_protein,5,4.3529,7.8804,16.0610
Separate,lt2A_and_valid_no_protein,10,4.3206,9.6986,24.5407
Separate,lt2A_and_valid_no_protein,20,4.3160,11.4904,34.8517
Separate,lt2A_and_valid_no_protein,40,4.3043,13.1196,46.1495
Separate,lt2A_and_valid_no_protein,80,4.3122,15.3110,56.4593
Separate,lt2A_and_valid_with_protein,1,1.3648,1.3648,1.3648
Separate,lt2A_and_valid_with_protein,2,1.3666,2.2536,2.5801
Separate,lt2A_and_valid_with_protein,3,1.3493,2.9605,3.6447
Separate,lt2A_and_valid_with_protein,5,1.3675,4.0383,5.6268
Separate,lt2A_and_valid_with_protein,10,1.3622,5.5981,9.4246
Separate,lt2A_and_valid_with_protein,20,1.3662,7.2309,14.7727
Separate,lt2A_and_valid_with_protein,40,1.3654,9.0251,22.1304
Separate,lt2A_and_valid_with_protein,80,1.3696,11.0048,31.5789
SigmaDock,rmsd_lt_1.0A,1,0.8122,0.8122,0.8122
SigmaDock,rmsd_lt_1.0A,2,0.8319,1.4856,1.5981
SigmaDock,rmsd_lt_1.0A,3,0.8489,2.0514,2.3517
SigmaDock,rmsd_lt_1.0A,5,0.8189,2.8038,3.4928
SigmaDock,rmsd_lt_1.0A,10,0.8242,4.4294,6.0455
SigmaDock,rmsd_lt_1.0A,20,0.8388,6.3349,9.7787
SigmaDock,rmsd_lt_1.0A,40,0.8322,8.5550,14.6914
SigmaDock,rmsd_lt_1.0A,80,0.8313,11.4833,20.5742
SigmaDock,rmsd_lt_2.0A,1,10.3744,10.3744,10.3744
SigmaDock,rmsd_lt_2.0A,2,10.3517,14.2500,18.3194
SigmaDock,rmsd_lt_2.0A,3,10.2998,16.7141,24.4653
SigmaDock,rmsd_lt_2.0A,5,10.2880,20.1041,33.8349
SigmaDock,rmsd_lt_2.0A,10,10.3571,24.5395,47.1292
SigmaDock,rmsd_lt_2.0A,20,10.3276,28.6220,59.1232
SigmaDock,rmsd_lt_2.0A,40,10.3150,32.0622,68.7010
SigmaDock,rmsd_lt_2.0A,80,10.3409,36.3636,76.0766
SigmaDock,rmsd_lt_2.5A,1,18.3660,18.3660,18.3660
SigmaDock,rmsd_lt_2.5A,2,18.6112,23.7428,31.1519
SigmaDock,rmsd_lt_2.5A,3,18.3385,26.4055,39.7440
SigmaDock,rmsd_lt_2.5A,5,18.3868,30.3457,51.4318
SigmaDock,rmsd_lt_2.5A,10,18.3443,35.8840,65.4139
SigmaDock,rmsd_lt_2.5A,20,18.2819,40.3636,75.1411
SigmaDock,rmsd_lt_2.5A,40,18.3698,44.4569,81.3529
SigmaDock,rmsd_lt_2.5A,80,18.3373,48.8038,86.6029
SigmaDock,rmsd_lt_3.0A,1,27.3409,27.3409,27.3409
SigmaDock,rmsd_lt_3.0A,2,27.4258,32.4701,42.9617
SigmaDock,rmsd_lt_3.0A,3,27.3780,35.7656,52.9414
SigmaDock,rmsd_lt_3.0A,5,27.3866,39.4318,64.5502
SigmaDock,rmsd_lt_3.0A,10,27.3575,44.1579,76.4797
SigmaDock,rmsd_lt_3.0A,20,27.3533,48.4306,83.8983
SigmaDock,rmsd_lt_3.0A,40,27.3867,51.5945,89.0837
SigmaDock,rmsd_lt_3.0A,80,27.3923,54.0670,92.3445
SigmaDock,pb_valid_no_protein,1,28.3648,28.3648,28.3648
SigmaDock,pb_valid_no_protein,2,28.3535,29.5347,37.2033
SigmaDock,pb_valid_no_protein,3,28.4063,30.0383,42.5024
SigmaDock,pb_valid_no_protein,5,28.4124,30.3206,49.0610
SigmaDock,pb_valid_no_protein,10,28.4518,30.9844,57.5012
SigmaDock,pb_valid_no_protein,20,28.4061,31.2536,65.2703
SigmaDock,pb_valid_no_protein,40,28.4449,31.4426,72.0861
SigmaDock,pb_valid_no_protein,80,28.4330,31.1005,77.9904
SigmaDock,pb_valid_with_protein,1,6.2787,6.2787,6.2787
SigmaDock,pb_valid_with_protein,2,6.2165,9.3194,10.4868
SigmaDock,pb_valid_with_protein,3,6.2400,11.3397,13.7368
SigmaDock,pb_valid_with_protein,5,6.1986,13.9976,18.5167
SigmaDock,pb_valid_with_protein,10,6.2067,17.5227,26.0873
SigmaDock,pb_valid_with_protein,20,6.2019,20.6998,34.4318
SigmaDock,pb_valid_with_protein,40,6.1936,23.7249,42.1986
SigmaDock,pb_valid_with_protein,80,6.1902,26.3158,48.3254
SigmaDock,lt2A_and_valid_no_protein,1,5.8900,5.8900,5.8900
SigmaDock,lt2A_and_valid_no_protein,2,5.7422,7.6591,10.3529
SigmaDock,lt2A_and_valid_no_protein,3,5.7763,8.9103,14.2368
SigmaDock,lt2A_and_valid_no_protein,5,5.6483,10.0335,19.5813
SigmaDock,lt2A_and_valid_no_protein,10,5.6922,12.1722,28.9856
SigmaDock,lt2A_and_valid_no_protein,20,5.7145,14.1962,38.6962
SigmaDock,lt2A_and_valid_no_protein,40,5.7079,15.7823,46.9880
SigmaDock,lt2A_and_valid_no_protein,80,5.7117,17.2249,53.1100
SigmaDock,lt2A_and_valid_with_protein,1,1.6400,1.6400,1.6400
SigmaDock,lt2A_and_valid_with_protein,2,1.6627,2.7990,3.1746
SigmaDock,lt2A_and_valid_with_protein,3,1.6890,3.7416,4.6304
SigmaDock,lt2A_and_valid_with_protein,5,1.6478,4.8577,6.9318
SigmaDock,lt2A_and_valid_with_protein,10,1.6555,6.7835,11.7057
SigmaDock,lt2A_and_valid_with_protein,20,1.6540,8.9486,18.2823
SigmaDock,lt2A_and_valid_with_protein,40,1.6506,11.3517,26.8122
SigmaDock,lt2A_and_valid_with_protein,80,1.6447,14.3541,35.8852
