arm,nfe,K,gruppe,n_komplexe,ziel,regel,anteil_prozent
SigmaDock,25,40,alle,307,PB-valide,je Zug,36.15
SigmaDock,25,40,frag=1,14,PB-valide,je Zug,55.18
SigmaDock,25,40,frag=2,49,PB-valide,je Zug,42.5
SigmaDock,25,40,frag=3,52,PB-valide,je Zug,43.03
SigmaDock,25,40,frag=4,56,PB-valide,je Zug,37.1
SigmaDock,25,40,frag=5,61,PB-valide,je Zug,36.6
SigmaDock,25,40,frag=6,25,PB-valide,je Zug,34.6
SigmaDock,25,40,frag=7,18,PB-valide,je Zug,19.86
SigmaDock,25,40,frag=8,15,PB-valide,je Zug,21.67
SigmaDock,25,40,frag=9,8,PB-valide,je Zug,7.19
SigmaDock,25,40,frag=10,3,PB-valide,je Zug,3.33
SigmaDock,25,40,frag=11,2,PB-valide,je Zug,18.57
SigmaDock,25,40,frag=12,1,PB-valide,je Zug,42.5
SigmaDock,25,40,frag=13,1,PB-valide,je Zug,0.0
SigmaDock,25,40,frag=14,2,PB-valide,je Zug,0.0
SigmaDock,25,40,alle,307,PB-valide,nur gnina,63.52
SigmaDock,25,40,frag=1,14,PB-valide,nur gnina,100.0
SigmaDock,25,40,frag=2,49,PB-valide,nur gnina,77.55
SigmaDock,25,40,frag=3,52,PB-valide,nur gnina,73.08
SigmaDock,25,40,frag=4,56,PB-valide,nur gnina,66.07
SigmaDock,25,40,frag=5,61,PB-valide,nur gnina,65.57
SigmaDock,25,40,frag=6,25,PB-valide,nur gnina,60.0
SigmaDock,25,40,frag=7,18,PB-valide,nur gnina,38.89
SigmaDock,25,40,frag=8,15,PB-valide,nur gnina,13.33
SigmaDock,25,40,frag=9,8,PB-valide,nur gnina,37.5
SigmaDock,25,40,frag=10,3,PB-valide,nur gnina,0.0
SigmaDock,25,40,frag=11,2,PB-valide,nur gnina,0.0
SigmaDock,25,40,frag=12,1,PB-valide,nur gnina,100.0
SigmaDock,25,40,frag=13,1,PB-valide,nur gnina,0.0
SigmaDock,25,40,frag=14,2,PB-valide,nur gnina,0.0
SigmaDock,25,40,alle,307,PB-valide,Mixed Score (Paper),87.95
SigmaDock,25,40,frag=1,14,PB-valide,Mixed Score (Paper),100.0
SigmaDock,25,40,frag=2,49,PB-valide,Mixed Score (Paper),93.88
SigmaDock,25,40,frag=3,52,PB-valide,Mixed Score (Paper),84.62
SigmaDock,25,40,frag=4,56,PB-valide,Mixed Score (Paper),92.86
SigmaDock,25,40,frag=5,61,PB-valide,Mixed Score (Paper),90.16
SigmaDock,25,40,frag=6,25,PB-valide,Mixed Score (Paper),96.0
SigmaDock,25,40,frag=7,18,PB-valide,Mixed Score (Paper),77.78
SigmaDock,25,40,frag=8,15,PB-valide,Mixed Score (Paper),73.33
SigmaDock,25,40,frag=9,8,PB-valide,Mixed Score (Paper),75.0
SigmaDock,25,40,frag=10,3,PB-valide,Mixed Score (Paper),66.67
SigmaDock,25,40,frag=11,2,PB-valide,Mixed Score (Paper),50.0
SigmaDock,25,40,frag=12,1,PB-valide,Mixed Score (Paper),100.0
SigmaDock,25,40,frag=13,1,PB-valide,Mixed Score (Paper),0.0
SigmaDock,25,40,frag=14,2,PB-valide,Mixed Score (Paper),0.0
SigmaDock,25,40,alle,307,PB-valide,PB-Filter -> gnina,91.53
SigmaDock,25,40,frag=1,14,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=2,49,PB-valide,PB-Filter -> gnina,95.92
SigmaDock,25,40,frag=3,52,PB-valide,PB-Filter -> gnina,92.31
SigmaDock,25,40,frag=4,56,PB-valide,PB-Filter -> gnina,94.64
SigmaDock,25,40,frag=5,61,PB-valide,PB-Filter -> gnina,93.44
SigmaDock,25,40,frag=6,25,PB-valide,PB-Filter -> gnina,96.0
SigmaDock,25,40,frag=7,18,PB-valide,PB-Filter -> gnina,83.33
SigmaDock,25,40,frag=8,15,PB-valide,PB-Filter -> gnina,80.0
SigmaDock,25,40,frag=9,8,PB-valide,PB-Filter -> gnina,75.0
SigmaDock,25,40,frag=10,3,PB-valide,PB-Filter -> gnina,66.67
SigmaDock,25,40,frag=11,2,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=12,1,PB-valide,PB-Filter -> gnina,100.0
SigmaDock,25,40,frag=13,1,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,25,40,frag=14,2,PB-valide,PB-Filter -> gnina,0.0
SigmaDock,25,40,alle,307,PB-valide,Orakel,91.53
SigmaDock,25,40,frag=1,14,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=2,49,PB-valide,Orakel,95.92
SigmaDock,25,40,frag=3,52,PB-valide,Orakel,92.31
SigmaDock,25,40,frag=4,56,PB-valide,Orakel,94.64
SigmaDock,25,40,frag=5,61,PB-valide,Orakel,93.44
SigmaDock,25,40,frag=6,25,PB-valide,Orakel,96.0
SigmaDock,25,40,frag=7,18,PB-valide,Orakel,83.33
SigmaDock,25,40,frag=8,15,PB-valide,Orakel,80.0
SigmaDock,25,40,frag=9,8,PB-valide,Orakel,75.0
SigmaDock,25,40,frag=10,3,PB-valide,Orakel,66.67
SigmaDock,25,40,frag=11,2,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=12,1,PB-valide,Orakel,100.0
SigmaDock,25,40,frag=13,1,PB-valide,Orakel,0.0
SigmaDock,25,40,frag=14,2,PB-valide,Orakel,0.0
SigmaDock,25,40,alle,307,RMSD<2 & PB,je Zug,24.09
