arm,nfe,complex,n,basis,q0.25@1.0,q0.5@1.0,q1.0@1.0,q0.25@2.0,q0.5@2.0,q1.0@2.0
Separate,25,1HNN_SKF,40,True,True,True,True,True,True,True
Separate,25,1HP0_AD3,40,False,False,False,False,False,False,False
Separate,25,1HQ2_PH2,40,True,True,True,True,True,True,True
Separate,25,1HVY_D16,40,False,False,False,False,False,True,True
Separate,25,1HWI_115,40,True,False,False,False,True,True,True
Separate,25,1HWW_SWA,40,False,False,False,False,False,False,False
Separate,25,1IA1_TQ3,40,True,True,True,True,True,True,True
Separate,25,1IG3_VIB,40,False,False,False,False,False,False,False
Separate,25,1J3J_CP6,40,True,True,True,True,True,True,True
Separate,25,1JD0_AZM,40,True,True,True,True,True,True,True
Separate,25,1JJE_BYS,40,True,True,True,True,True,True,True
Separate,25,1JLA_TNK,40,True,True,True,True,True,True,True
Separate,25,1K3U_IAD,40,False,False,False,False,False,False,False
Separate,25,1KE5_LS1,40,True,True,True,True,True,True,True
Separate,25,1KZK_JE2,40,True,True,True,True,True,True,True
Separate,25,1L2S_STC,40,True,True,True,True,True,True,True
Separate,25,1L7F_BCZ,40,True,True,True,True,True,True,True
Separate,25,1LPZ_CMB,40,True,True,True,True,False,False,False
Separate,25,1LRH_NLA,40,True,True,True,True,True,True,True
Separate,25,1M2Z_DEX,40,True,True,True,True,True,True,True
Separate,25,1MEH_MOA,40,True,True,True,True,True,True,True
Separate,25,1MMV_3AR,40,True,True,True,True,False,True,False
Separate,25,1MZC_BNE,40,False,False,False,False,False,False,False
Separate,25,1N1M_A3M,40,True,True,True,True,True,True,True
Separate,25,1N2J_PAF,40,True,True,True,True,True,True,True
Separate,25,1N2V_BDI,40,True,True,True,True,True,True,True
Separate,25,1N46_PFA,40,True,True,True,True,True,True,True
Separate,25,1NAV_IH5,40,True,True,True,True,True,True,True
Separate,25,1OF1_SCT,40,True,True,True,True,True,True,True
Separate,25,1OF6_DTY,40,True,True,True,True,True,True,True
Separate,25,1OPK_P16,40,True,True,True,True,True,True,True
Separate,25,1OQ5_CEL,40,True,True,True,True,False,False,False
Separate,25,1OWE_675,40,True,True,True,True,True,True,True
Separate,25,1OYT_FSN,40,True,True,True,True,True,True,True
Separate,25,1P2Y_NCT,40,True,True,True,True,True,True,True
Separate,25,1P62_GEO,40,True,True,True,True,True,True,True
Separate,25,1PMN_984,40,True,True,True,True,True,True,True
Separate,25,1Q1G_MTI,40,True,True,True,True,True,True,True
Separate,25,1Q41_IXM,40,True,True,True,True,True,True,True
Separate,25,1Q4G_BFL,40,True,True,True,True,True,True,True
