complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
1IA1_TQ3,2,Minimal,5,200,0.65,7,0.65,True,0.1574,0.65,47.826,47.842
1IA1_TQ3,2,Separate,25,40,0.7,4,0.6,True,0.278,0.6,47.786,47.821
1IA1_TQ3,2,Separate,5,200,0.715,11,0.73,True,0.164,0.73,47.853,47.887
1IG3_VIB,3,SigmaDock,25,40,0.15,8,0.25,False,0.5155,0.125,0.515,1.138
1IG3_VIB,3,SigmaDock,5,40,0.05,39,0.05,False,0.9906,0.025,0.981,16.165
1IG3_VIB,3,Minimal,25,40,0.225,8,0.275,False,0.4904,0.1,0.652,0.91
1IG3_VIB,3,Minimal,5,200,0.315,16,0.31,True,0.3284,0.31,0.569,0.848
1IG3_VIB,3,Separate,25,40,0.025,14,0.225,False,0.628,0.05,0.311,1.145
1IG3_VIB,3,Separate,5,200,0.055,25,0.195,False,0.4631,0.035,0.546,0.911
1J3J_CP6,3,SigmaDock,25,40,0.875,3,0.875,True,0.1191,0.875,62.225,62.368
1J3J_CP6,3,SigmaDock,5,40,0.125,36,0.1,True,0.953,0.1,62.467,56.215
1J3J_CP6,3,Minimal,25,40,0.625,4,0.625,True,0.261,0.625,62.249,62.468
1J3J_CP6,3,Minimal,5,200,0.63,8,0.605,True,0.2041,0.605,62.325,62.419
1J3J_CP6,3,Separate,25,40,0.825,5,0.825,True,0.1804,0.825,62.228,62.473
1J3J_CP6,3,Separate,5,200,0.715,15,0.69,True,0.2258,0.69,62.253,62.396
1JD0_AZM,3,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.112,
1JD0_AZM,3,SigmaDock,5,40,0.425,25,0.4,True,0.6994,0.4,0.47,15.897
1JD0_AZM,3,Minimal,25,40,1.0,2,0.975,True,0.0317,0.975,0.309,
1JD0_AZM,3,Minimal,5,200,0.98,2,0.99,True,0.0106,0.99,0.208,0.701
1JD0_AZM,3,Separate,25,40,1.0,1,1.0,True,-0.0,1.0,0.273,
1JD0_AZM,3,Separate,5,200,0.995,1,1.0,True,-0.0,1.0,0.201,0.424
1JJE_BYS,4,SigmaDock,25,40,0.625,6,0.6,True,0.3234,0.6,0.442,1.029
1JJE_BYS,4,SigmaDock,5,40,0.05,37,0.075,False,0.9683,0.05,0.713,11.016
1JJE_BYS,4,Minimal,25,40,0.625,6,0.65,True,0.2825,0.65,0.58,1.017
1JJE_BYS,4,Minimal,5,200,0.585,16,0.51,True,0.2508,0.51,0.653,0.98
1JJE_BYS,4,Separate,25,40,0.625,8,0.475,True,0.401,0.475,0.609,0.748
1JJE_BYS,4,Separate,5,200,0.68,12,0.59,True,0.2401,0.59,0.63,0.847
1JLA_TNK,5,SigmaDock,25,40,0.825,3,0.825,True,0.1452,0.825,0.324,0.623
1JLA_TNK,5,SigmaDock,5,40,0.075,38,0.075,True,0.9777,0.075,0.403,15.119
1JLA_TNK,5,Minimal,25,40,0.4,13,0.4,True,0.5242,0.4,0.428,0.695
1JLA_TNK,5,Minimal,5,200,0.47,33,0.455,True,0.3774,0.455,0.37,0.598
1JLA_TNK,5,Separate,25,40,0.75,7,0.75,True,0.254,0.75,0.355,0.543
1JLA_TNK,5,Separate,5,200,0.82,20,0.805,True,0.1882,0.805,0.331,0.6
1K3U_IAD,4,SigmaDock,25,40,0.475,4,0.45,False,0.2893,0.425,0.327,0.297
1K3U_IAD,4,SigmaDock,5,40,0.05,35,0.1,False,0.9436,0.05,1.051,11.494
1K3U_IAD,4,Minimal,25,40,0.35,4,0.625,False,0.2535,0.275,0.34,0.342
1K3U_IAD,4,Minimal,5,200,0.425,9,0.6,False,0.1849,0.33,0.322,0.307
1K3U_IAD,4,Separate,25,40,0.45,4,0.6,False,0.2587,0.3,0.385,0.356
1K3U_IAD,4,Separate,5,200,0.465,10,0.55,False,0.1926,0.38,0.344,0.285
1KE5_LS1,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.254,
1KE5_LS1,4,SigmaDock,5,40,0.15,37,0.1,True,0.9624,0.1,0.629,17.302
1KE5_LS1,4,Minimal,25,40,0.825,5,0.825,True,0.1804,0.825,0.219,0.575
1KE5_LS1,4,Minimal,5,200,0.9,8,0.84,True,0.1198,0.84,0.199,0.461
1KE5_LS1,4,Separate,25,40,1.0,1,1.0,True,-0.0,1.0,0.203,
1KE5_LS1,4,Separate,5,200,0.96,6,0.95,True,0.0491,0.95,0.215,0.394
1KZK_JE2,8,SigmaDock,25,40,0.025,8,0.475,False,0.431,0.025,0.239,0.597
1KZK_JE2,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.326
1KZK_JE2,8,Minimal,25,40,0.2,18,0.225,True,0.6745,0.225,0.276,0.416
1KZK_JE2,8,Minimal,5,200,0.085,44,0.205,False,0.53,0.085,0.268,0.421
1KZK_JE2,8,Separate,25,40,0.2,14,0.2,True,0.6359,0.2,0.258,0.441
1KZK_JE2,8,Separate,5,200,0.23,43,0.23,True,0.5049,0.23,0.198,0.414
1L2S_STC,3,SigmaDock,25,40,0.925,3,0.925,True,0.0852,0.925,30.314,30.558
1L2S_STC,3,SigmaDock,5,40,0.25,31,0.125,True,0.8855,0.125,30.276,37.142
1L2S_STC,3,Minimal,25,40,0.5,10,0.325,True,0.5226,0.325,30.193,30.708
1L2S_STC,3,Minimal,5,200,0.665,20,0.53,True,0.3149,0.53,30.305,30.617
1L2S_STC,3,Separate,25,40,0.7,7,0.425,True,0.408,0.425,30.259,30.524
1L2S_STC,3,Separate,5,200,0.78,17,0.725,True,0.2132,0.725,30.238,30.508
1L7F_BCZ,6,SigmaDock,25,40,0.9,5,0.85,True,0.1651,0.85,0.376,0.834
1L7F_BCZ,6,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,9.166
1L7F_BCZ,6,Minimal,25,40,0.775,10,0.75,True,0.2991,0.75,0.369,1.038
1L7F_BCZ,6,Minimal,5,200,0.835,20,0.765,True,0.2253,0.765,0.318,0.749
1L7F_BCZ,6,Separate,25,40,0.8,9,0.775,True,0.2692,0.775,0.348,0.822
1L7F_BCZ,6,Separate,5,200,0.92,16,0.86,True,0.1441,0.86,0.332,0.67
1LPZ_CMB,5,SigmaDock,25,40,0.4,15,0.525,True,0.5162,0.525,0.618,1.147
1LPZ_CMB,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,15.442
1LPZ_CMB,5,Minimal,25,40,0.25,23,0.15,True,0.7845,0.15,0.62,0.832
1LPZ_CMB,5,Minimal,5,200,0.285,65,0.19,True,0.6434,0.19,0.591,0.836
1LPZ_CMB,5,Separate,25,40,0.075,26,0.175,False,0.8254,0.175,0.769,0.87
1LPZ_CMB,5,Separate,5,200,0.165,69,0.16,False,0.6878,0.16,0.628,0.88
1LRH_NLA,2,SigmaDock,25,40,0.9,2,0.9,True,0.0881,0.9,0.237,0.32
1LRH_NLA,2,SigmaDock,5,40,0.375,22,0.35,True,0.6767,0.35,0.592,19.843
1LRH_NLA,2,Minimal,25,40,0.475,5,0.425,False,0.3096,0.425,0.304,0.433
1LRH_NLA,2,Minimal,5,200,0.615,10,0.63,True,0.1937,0.63,0.256,0.406
1LRH_NLA,2,Separate,25,40,0.55,6,0.55,True,0.2887,0.55,0.308,0.421
1LRH_NLA,2,Separate,5,200,0.625,7,0.645,True,0.1604,0.645,0.244,0.342
1M2Z_DEX,3,SigmaDock,25,40,0.75,2,0.775,True,0.1445,0.775,34.24,34.3
1M2Z_DEX,3,SigmaDock,5,40,0.3,26,0.3,True,0.7603,0.3,34.225,38.314
1M2Z_DEX,3,Minimal,25,40,0.575,5,0.575,True,0.2759,0.575,34.229,34.486
