arm,nfe,complex,mixed,f24+gnina,sz>=2,f24+sz>=2,sz>=3,f24+sz>=3,sz>=5,f24+sz>=5,top2,top3,sup^0.25,sup^0.5,sup^1.0,f24+sup^0.25,f24+sup^0.5
SigmaDock,25,1T9B_1CS,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
SigmaDock,25,1TOW_CRZ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1TT1_KAI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1TZ8_DES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1U1C_BAU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1U4D_DBQ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1UML_FR4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1UNL_RRC,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1UOU_CMU,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1V0P_PVB,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1V48_HA1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1V4S_MRK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1VCJ_IBA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1W1P_GIO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1W2G_THM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1X8X_TYR,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1XM6_5RM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1XOQ_ROF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1XOZ_CIA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1Y6B_AAX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1YGC_905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1YQY_915,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1YV3_BIT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,1YVF_PH7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,1YWR_LI9,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True
SigmaDock,25,1Z95_198,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,2BM2_PM2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SigmaDock,25,2BR1_PFP,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SigmaDock,25,2BSM_BSM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1G9V_RQ3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1GKC_NFH,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1GM8_SOX,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
Minimal,25,1GPK_HUP,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1HNN_SKF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1HP0_AD3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1HQ2_PH2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1HVY_D16,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False
Minimal,25,1HWI_115,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True
Minimal,25,1HWW_SWA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1IA1_TQ3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1IG3_VIB,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False
Minimal,25,1J3J_CP6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1JD0_AZM,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1JJE_BYS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1JLA_TNK,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1K3U_IAD,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1KE5_LS1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1KZK_JE2,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1L2S_STC,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1L7F_BCZ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1LPZ_CMB,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1LRH_NLA,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True
Minimal,25,1M2Z_DEX,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1MEH_MOA,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True
Minimal,25,1MMV_3AR,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1MZC_BNE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Minimal,25,1N1M_A3M,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1N2J_PAF,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1N2V_BDI,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minimal,25,1N46_PFA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
