satz,arm,nfe,K,ziel,regel,mean,count,prozent
PB308,SigmaDock,25,7,both,mixed,0.5311954397394134,307,53.11954397394134
PB308,SigmaDock,25,8,both,mixed,0.5464612377850163,307,54.64612377850163
PB308,SigmaDock,25,9,both,mixed,0.5590208469055375,307,55.90208469055376
PB308,SigmaDock,25,10,both,mixed,0.5694322475570033,307,56.94322475570033
PB308,SigmaDock,25,11,both,mixed,0.5782250814332245,307,57.82250814332245
PB308,SigmaDock,25,12,both,mixed,0.5857013029315961,307,58.57013029315961
PB308,SigmaDock,25,13,both,mixed,0.5922495114006517,307,59.22495114006517
PB308,SigmaDock,25,14,both,mixed,0.5979596091205212,307,59.79596091205212
PB308,SigmaDock,25,15,both,mixed,0.6030442996742672,307,60.30442996742672
PB308,SigmaDock,25,16,both,mixed,0.6073798045602604,307,60.737980456026044
PB308,SigmaDock,25,17,both,mixed,0.611341042345277,307,61.1341042345277
PB308,SigmaDock,25,18,both,mixed,0.614907491856677,307,61.4907491856677
PB308,SigmaDock,25,19,both,mixed,0.6180465798045599,307,61.80465798045599
PB308,SigmaDock,25,20,both,mixed,0.6209293159609117,307,62.09293159609117
PB308,SigmaDock,25,21,both,mixed,0.6234576547231271,307,62.345765472312706
PB308,SigmaDock,25,22,both,mixed,0.625857980456026,307,62.5857980456026
PB308,SigmaDock,25,23,both,mixed,0.628025732899023,307,62.8025732899023
PB308,SigmaDock,25,24,both,mixed,0.6298644951140067,307,62.986449511400664
PB308,SigmaDock,25,25,both,mixed,0.6316605863192183,307,63.16605863192183
PB308,SigmaDock,25,26,both,mixed,0.6332273615635176,307,63.32273615635175
