complex,n_frag,arm,nfe,n_posen,trefferquote,n_moden,groesster_modus,groesster_richtig,entropie,abdeckung_richtig,d_zentrum_richtig,d_zentrum_falsch
7NFB_GEN,2,Minimal,5,200,0.515,2,0.98,True,0.0185,0.98,0.163,0.195
7NFB_GEN,2,Separate,25,40,0.35,1,1.0,False,-0.0,1.0,0.259,0.257
7NFB_GEN,2,Separate,5,201,0.24378109452736318,2,0.99,False,0.0105,0.99,0.216,0.197
7NLV_UJE,4,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.384,
7NLV_UJE,4,SigmaDock,5,40,0.075,36,0.125,True,0.9455,0.125,0.496,15.512
7NLV_UJE,4,Minimal,25,40,0.925,2,0.975,True,0.0317,0.975,0.431,1.022
7NLV_UJE,4,Minimal,5,202,0.9158415841584159,2,0.995,True,0.0059,0.995,0.426,0.641
7NLV_UJE,4,Separate,25,40,0.975,1,1.0,True,-0.0,1.0,0.423,0.923
7NLV_UJE,4,Separate,5,201,0.9303482587064676,1,1.0,True,-0.0,1.0,0.417,0.57
7NR8_UOE,8,SigmaDock,25,40,0.525,5,0.8,True,0.2073,0.8,0.315,1.833
7NR8_UOE,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,15.367
7NR8_UOE,8,Minimal,25,40,0.25,10,0.35,True,0.5087,0.35,0.42,1.434
7NR8_UOE,8,Minimal,5,203,0.3251231527093596,25,0.4926,True,0.3644,0.4926,0.494,1.455
7NR8_UOE,8,Separate,25,40,0.4,4,0.65,True,0.2607,0.65,0.429,0.875
7NR8_UOE,8,Separate,5,201,0.373134328358209,19,0.7164,True,0.2347,0.7164,0.406,1.233
7NUT_GLP,2,SigmaDock,25,42,0.30952380952380953,2,0.7143,False,0.1601,0.7143,0.619,0.804
7NUT_GLP,2,SigmaDock,5,42,0.09523809523809523,28,0.2381,False,0.7848,0.2381,0.865,19.862
7NUT_GLP,2,Minimal,25,42,0.35714285714285715,2,0.7381,False,0.1538,0.7381,0.458,0.63
7NUT_GLP,2,Minimal,5,202,0.297029702970297,3,0.5594,True,0.1415,0.5594,0.445,0.756
7NUT_GLP,2,Separate,25,40,0.45,2,0.925,False,0.0722,0.925,0.504,0.666
7NUT_GLP,2,Separate,5,200,0.505,3,0.945,True,0.0434,0.945,0.557,0.624
7OEO_V9Z,8,SigmaDock,25,40,0.075,10,0.25,False,0.5513,0.25,0.801,1.408
7OEO_V9Z,8,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,8.666
7OEO_V9Z,8,Minimal,25,40,0.15,11,0.25,False,0.5777,0.175,0.687,1.34
7OEO_V9Z,8,Minimal,5,200,0.12,24,0.185,False,0.4784,0.185,0.85,1.412
7OEO_V9Z,8,Separate,25,40,0.0,10,0.325,False,0.4932,,,1.445
7OEO_V9Z,8,Separate,5,201,0.014925373134328358,21,0.3731,False,0.3649,0.0249,0.949,1.353
7OP9_06K,1,SigmaDock,25,40,0.0,2,0.975,False,0.0317,,,0.487
7OP9_06K,1,SigmaDock,5,40,0.075,16,0.275,False,0.6143,0.075,0.857,23.093
7OP9_06K,1,Minimal,25,40,0.1,3,0.6,False,0.2568,0.225,0.549,0.793
7OP9_06K,1,Minimal,5,201,0.04477611940298507,3,0.7015,False,0.1493,0.209,0.614,0.672
7OP9_06K,1,Separate,25,41,0.07317073170731707,3,0.8049,False,0.1527,0.1707,0.437,0.596
7OP9_06K,1,Separate,5,201,0.04975124378109453,3,0.796,False,0.1218,0.1144,0.472,0.481
7OZC_G6S,2,SigmaDock,25,40,0.1,2,0.85,False,0.1146,0.15,0.196,0.693
7OZC_G6S,2,SigmaDock,5,40,0.05,24,0.25,False,0.7488,0.075,0.487,15.356
7OZC_G6S,2,Minimal,25,40,0.05,2,0.925,False,0.0722,0.075,0.344,0.694
7OZC_G6S,2,Minimal,5,201,0.024875621890547265,3,0.9502,False,0.0403,0.0448,0.318,0.705
7OZC_G6S,2,Separate,25,40,0.05,2,0.85,False,0.1146,0.15,0.243,0.923
7OZC_G6S,2,Separate,5,201,0.0845771144278607,3,0.8308,False,0.0952,0.1542,0.152,0.769
7PIH_7QW,3,SigmaDock,25,40,0.55,1,1.0,True,-0.0,1.0,0.5,0.598
7PIH_7QW,3,SigmaDock,5,40,0.225,26,0.375,True,0.7247,0.375,0.718,14.556
7PIH_7QW,3,Minimal,25,40,0.5,1,1.0,False,-0.0,1.0,0.44,0.505
7PIH_7QW,3,Minimal,5,201,0.5472636815920398,1,1.0,True,-0.0,1.0,0.445,0.508
7PIH_7QW,3,Separate,25,40,0.45,1,1.0,False,-0.0,1.0,0.435,0.475
7PIH_7QW,3,Separate,5,201,0.5422885572139303,1,1.0,True,-0.0,1.0,0.444,0.511
7POM_7VZ,4,SigmaDock,25,40,0.975,1,1.0,True,-0.0,1.0,0.435,0.572
7POM_7VZ,4,SigmaDock,5,40,0.025,36,0.125,False,0.9455,0.125,0.847,13.228
7POM_7VZ,4,Minimal,25,40,0.65,3,0.725,True,0.1822,0.725,0.371,0.587
7POM_7VZ,4,Minimal,5,200,0.695,5,0.86,True,0.1002,0.86,0.456,0.706
7POM_7VZ,4,Separate,25,40,0.85,4,0.925,True,0.0945,0.925,0.442,0.902
7POM_7VZ,4,Separate,5,200,0.76,5,0.905,True,0.0763,0.905,0.449,0.638
7Q2B_M6H,2,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.453,
7Q2B_M6H,2,SigmaDock,5,40,0.475,21,0.5,True,0.594,0.5,0.562,22.351
7Q2B_M6H,2,Minimal,25,40,0.975,1,1.0,True,-0.0,1.0,0.718,1.511
7Q2B_M6H,2,Minimal,5,200,0.975,1,1.0,True,-0.0,1.0,0.695,1.296
7Q2B_M6H,2,Separate,25,40,1.0,1,1.0,True,-0.0,1.0,0.635,
7Q2B_M6H,2,Separate,5,200,0.99,1,1.0,True,-0.0,1.0,0.575,1.031
7Q5I_I0F,5,SigmaDock,25,40,1.0,1,1.0,True,-0.0,1.0,0.307,
7Q5I_I0F,5,SigmaDock,5,40,0.05,37,0.1,False,0.9624,0.1,0.277,10.669
7Q5I_I0F,5,Minimal,25,40,0.875,1,1.0,True,-0.0,1.0,0.307,0.604
7Q5I_I0F,5,Minimal,5,201,0.900497512437811,1,1.0,True,-0.0,1.0,0.404,0.64
7Q5I_I0F,5,Separate,25,40,0.925,1,1.0,True,-0.0,1.0,0.425,0.877
7Q5I_I0F,5,Separate,5,201,0.9203980099502488,1,1.0,True,-0.0,1.0,0.435,0.794
7RSV_7IQ,2,SigmaDock,25,40,0.925,2,0.925,True,0.0722,0.925,0.254,0.634
7RSV_7IQ,2,SigmaDock,5,40,0.325,22,0.45,True,0.638,0.45,0.338,18.927
7RSV_7IQ,2,Minimal,25,40,0.8,1,1.0,True,-0.0,1.0,0.305,0.46
7RSV_7IQ,2,Minimal,5,200,0.79,2,0.965,True,0.0286,0.965,0.298,0.586
7RSV_7IQ,2,Separate,25,40,0.85,2,0.925,True,0.0722,0.925,0.296,0.564
7RSV_7IQ,2,Separate,5,202,0.801980198019802,3,0.901,True,0.0669,0.901,0.256,0.572
7SDD_4IP,5,SigmaDock,25,40,0.05,19,0.2,False,0.72,0.2,1.008,1.543
7SDD_4IP,5,SigmaDock,5,40,0.0,40,0.025,False,1.0,,,10.981
7SDD_4IP,5,Minimal,25,40,0.125,18,0.175,False,0.7275,0.125,0.907,1.049
7SDD_4IP,5,Minimal,5,202,0.06435643564356436,39,0.0891,False,0.612,0.0891,0.74,1.116
7SDD_4IP,5,Separate,25,40,0.025,20,0.15,False,0.7626,0.075,0.893,1.18
7SDD_4IP,5,Separate,5,201,0.024875621890547265,45,0.0995,False,0.6324,0.0597,0.726,1.226
7T3E_SLB,6,SigmaDock,25,40,0.5,3,0.825,True,0.1541,0.825,0.275,0.938
