arm,nfe,K,praez@1,praez@3,praez@5,praez@10,koeder_quote,valid_unter_richtigen,p_pb_falsch,p_pb_richtig,aff_falsch,aff_richtig,trenngroesse,n_trenn
Minimal,25,40,86.9,84.13,83.1,78.69,24.2,46.82,0.6895,0.8184,-0.655,-4.555,0.859,80
Separate,25,40,86.9,86.51,83.57,79.29,25.42,49.74,0.6893,0.8321,-0.825,-4.728,0.842,79
SigmaDock,25,40,82.72,85.19,81.73,81.23,30.92,59.03,0.7821,0.8863,-1.855,-5.785,1.058,71
Minimal,5,200,90.48,88.49,85.95,85.0,18.79,37.97,0.581,0.7465,-0.233,-4.411,0.731,84
Separate,5,200,92.94,88.24,87.76,85.65,18.28,40.91,0.5671,0.7602,0.036,-4.437,0.76,85
SigmaDock,5,40,43.1,45.98,42.07,34.31,1.11,9.2,0.3855,0.4661,47.173,1.155,0.583,58
